IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MARGARITA,KOBIETA,5
FLAWIA,KOBIETA,5
INESS,KOBIETA,5
LÉA,KOBIETA,5
IRIS,KOBIETA,5
ELINA,KOBIETA,5
MIYA,KOBIETA,5
MIIA,KOBIETA,5
CHANEL,KOBIETA,5
TULIA,KOBIETA,5
FRIDA,KOBIETA,5
EMILIYA,KOBIETA,4
ANABEL,KOBIETA,4
LIYA,KOBIETA,4
MIRANDA,KOBIETA,4
KATERINA,KOBIETA,4
ULIANA,KOBIETA,4
ALITA,KOBIETA,4
MALIKA,KOBIETA,4
KLAUDYNA,KOBIETA,4
TEONA,KOBIETA,4
BLANCA,KOBIETA,4
FREJA,KOBIETA,4
EUGENIA,KOBIETA,4
ISLA,KOBIETA,4
HELEN,KOBIETA,4
TARA,KOBIETA,4
ULYANA,KOBIETA,4
ARYA,KOBIETA,4
SELINA,KOBIETA,4
AMY,KOBIETA,4
RUTA,KOBIETA,4
VALERIIA,KOBIETA,4
LATIKA,KOBIETA,4
AIDA,KOBIETA,4
KESJA,KOBIETA,4
ULA,KOBIETA,4
DARINA,KOBIETA,4
TEODORA,KOBIETA,4
WANESA,KOBIETA,4
MAIA,KOBIETA,4
ZLATOSLAVA,KOBIETA,4
GABI,KOBIETA,4
PETRA,KOBIETA,4
IVANNA,KOBIETA,4
RADOCHNA,KOBIETA,4
YASMINE,KOBIETA,4
CIRILLA,KOBIETA,4
ZOI,KOBIETA,4
MICHAELA,KOBIETA,4
POLIANA,KOBIETA,4
LUISA,KOBIETA,4
SAMIRA,KOBIETA,4
AYLA,KOBIETA,4
MARIE,KOBIETA,4
FATIMA,KOBIETA,4
LEAH,KOBIETA,4
KARMELA,KOBIETA,4
DANA,KOBIETA,4
SUSANNE,KOBIETA,4
ANDREA,KOBIETA,4
ERYKA,KOBIETA,4
LARISA,KOBIETA,4
JEWA,KOBIETA,4
RACHELA,KOBIETA,4
MARYAM,KOBIETA,4
WIERA,KOBIETA,4
KAIA,KOBIETA,4
MAIIA,KOBIETA,4
YUNA,KOBIETA,4
SALMA,KOBIETA,4
LEONIE,KOBIETA,4
ZARA,KOBIETA,4
CARLA,KOBIETA,4
LIJA,KOBIETA,4
SUSAN,KOBIETA,4
LILIT,KOBIETA,4
MILLA,KOBIETA,4
JENNIFER,KOBIETA,4
ALMA,KOBIETA,4
JASMIN,KOBIETA,4
ALEXIA,KOBIETA,4
MIŁKA,KOBIETA,4
EMILI,KOBIETA,4
LETISJA,KOBIETA,4
EMI,KOBIETA,4
SIENNA,KOBIETA,3
AGNES,KOBIETA,3
SOLOMIJA,KOBIETA,3
NATHALIE,KOBIETA,3
LIGIA,KOBIETA,3
ESTHER,KOBIETA,3
CORNELIA,KOBIETA,3
LOUISE,KOBIETA,3
SAMANTHA,KOBIETA,3
REBECCA,KOBIETA,3
ANASTASIJA,KOBIETA,3
NATALIIA,KOBIETA,3
RAISA,KOBIETA,3
FLAVIA,KOBIETA,3
LIANA,KOBIETA,3
ESMERALDA,KOBIETA,3
LILLIANA,KOBIETA,3
FRYDERYKA,KOBIETA,3
RUT,KOBIETA,3
ELISE,KOBIETA,3
ZOEY,KOBIETA,3
KATALEJA,KOBIETA,3
SOFIE,KOBIETA,3
LARYSSA,KOBIETA,3
ISABELL,KOBIETA,3
PELAGIA,KOBIETA,3
SALOMEA,KOBIETA,3
OKTAVIA,KOBIETA,3
YASMINA,KOBIETA,3
MARIAMI,KOBIETA,3
MARIJA,KOBIETA,3
WIRGINIA,KOBIETA,3
GRACE,KOBIETA,3
IMAN,KOBIETA,3
KHADIJA,KOBIETA,3
LÉNA,KOBIETA,3
KAREN,KOBIETA,3
KLÁRA,KOBIETA,3
MAGNOLIA,KOBIETA,3
CYNTIA,KOBIETA,3
FREYA,KOBIETA,3
RUBY,KOBIETA,3
WIWIANNA,KOBIETA,3
NOA,KOBIETA,3
ANASTASIYA,KOBIETA,3
THEA,KOBIETA,3
KAZIMIERA,KOBIETA,3
ISABEL,KOBIETA,3
MARIAM,KOBIETA,3
SORAJA,KOBIETA,3
ZARINA,KOBIETA,3
INGRID,KOBIETA,3
NICA,KOBIETA,3
SCARLETT,KOBIETA,3
JAGIENKA,KOBIETA,3
ISMENA,KOBIETA,3
